Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	exo_control_1 Spectral Count	exo_control_2 Spectral Count	exo_control_3 Spectral Count	exo_hyb_1 Spectral Count	exo_hyb_2 Spectral Count	exo_hyb_3 Spectral Count	exo_control_1 Unique Spectral Count	exo_control_2 Unique Spectral Count	exo_control_3 Unique Spectral Count	exo_hyb_1 Unique Spectral Count	exo_hyb_2 Unique Spectral Count	exo_hyb_3 Unique Spectral Count	exo_control_1 Total Spectral Count	exo_control_2 Total Spectral Count	exo_control_3 Total Spectral Count	exo_hyb_1 Total Spectral Count	exo_hyb_2 Total Spectral Count	exo_hyb_3 Total Spectral Count	exo_control_1 Intensity	exo_control_2 Intensity	exo_control_3 Intensity	exo_hyb_1 Intensity	exo_hyb_2 Intensity	exo_hyb_3 Intensity	exo_control_1 MaxLFQ Intensity	exo_control_2 MaxLFQ Intensity	exo_control_3 MaxLFQ Intensity	exo_hyb_1 MaxLFQ Intensity	exo_hyb_2 MaxLFQ Intensity	exo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q64524|H2B2E_MOUSE	Q64524	H2B2E_MOUSE	H2bc21	126	Mus musculus	1:Experimental evidence at protein level	Histone H2B type 2-E	1.0	0.999	16	459	1	579	57	69	76	85	87	85	0	0	0	1	0	0	72	86	94	104	117	106	1.6448535E7	1.5015541E7	1.7239244E7	2.1067056E7	1.7185488E7	1.5362209E7	6289444.0	7303109.0	8874228.0	1.0326721E7	7084965.0	6995920.5	
sp|Q64525|H2B2B_MOUSE	Q64525	H2B2B_MOUSE	Hist2h2bb	126	Mus musculus	1:Experimental evidence at protein level	Histone H2B type 2-B	0.9996	0.999	24	43	2	633	6	4	3	14	8	8	0	0	0	1	1	0	80	93	102	115	127	116	1846886.5	1479212.5	1209091.8	3638052.5	2677417.5	2334181.8	1846422.2	1587334.1	1207182.5	1839095.9	1771813.9	2202743.2	
sp|Q64674|SPEE_MOUSE	Q64674	SPEE_MOUSE	Srm	302	Mus musculus	1:Experimental evidence at protein level	Spermidine synthase	1.0	0.999	12	183	183	183	28	29	27	31	39	29	28	29	27	31	39	29	28	29	27	31	39	29	3345082.5	2132352.0	1586344.2	3576244.5	3539073.8	1515350.0	894755.25	735193.56	685157.4	833224.44	908254.4	616067.4	
sp|Q64727|VINC_MOUSE	Q64727	VINC_MOUSE	Vcl	1066	Mus musculus	1:Experimental evidence at protein level	Vinculin	1.0	0.999	41	345	329	345	56	65	55	60	55	54	55	62	52	57	53	50	56	65	55	60	55	54	3301344.0	2419850.5	2522416.8	3854437.0	3201041.8	2215321.2	504225.7	396554.28	441079.94	427101.56	451365.88	406054.62	
sp|Q64735-2|CR1L_MOUSE	Q64735-2	CR1L_MOUSE	Cr1l	440	Mus musculus		Isoform 2 of Complement component receptor 1-like protein	1.0	0.999	3	13	0	13	1	4	3	2	1	2	0	0	0	0	0	0	1	4	3	2	1	2	42406.4	95199.58	50001.223	115340.79	44818.504	85861.43	41336.645	36774.05	33849.266	61624.76	47929.805	45375.785	sp|Q64735|CR1L_MOUSE
sp|Q64737|PUR2_MOUSE	Q64737	PUR2_MOUSE	Gart	1010	Mus musculus	1:Experimental evidence at protein level	Trifunctional purine biosynthetic protein adenosine-3	1.0	0.999	23	198	70	198	26	39	36	36	25	36	11	12	13	14	11	9	26	39	36	36	25	36	1299335.4	1243611.2	1221510.8	1741215.2	977297.06	1330355.4	192841.45	194677.78	223230.88	195541.5	174422.83	219282.73	
sp|Q65Z40|WAPL_MOUSE	Q65Z40	WAPL_MOUSE	Wapl	1200	Mus musculus	1:Experimental evidence at protein level	Wings apart-like protein homolog	0.9942	0.999	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	44311.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|B7ZP47|B7ZP47_MOUSE
sp|Q66JX5-2|CEP43_MOUSE	Q66JX5-2	CEP43_MOUSE	Cep43	379	Mus musculus		Isoform 2 of Centrosomal protein 43	0.9334	0.999	1	4	0	4	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	2	71970.43	56859.227	0.0	50833.367	0.0	60545.703	71970.43	56859.227	0.0	50833.367	0.0	60545.703	sp|Q66JX5|CEP43_MOUSE, tr|F6UTB8|F6UTB8_MOUSE
sp|Q689Z5-2|SBNO1_MOUSE	Q689Z5-2	SBNO1_MOUSE	Sbno1	1391	Mus musculus		Isoform 2 of Protein strawberry notch homolog 1	1.0	0.999	3	3	0	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0.0	0.0	28921.314	0.0	5886.4497	39618.85	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q689Z5|SBNO1_MOUSE, tr|B2RRI2|B2RRI2_MOUSE, tr|F7CVW0|F7CVW0_MOUSE
sp|Q68ED3|PAPD5_MOUSE	Q68ED3	PAPD5_MOUSE	Tent4b	633	Mus musculus	1:Experimental evidence at protein level	Terminal nucleotidyltransferase 4B	0.9992	0.999	2	3	0	3	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0.0	0.0	9136.353	453965.44	328950.28	326007.12	0.0	0.0	0.0	453965.44	328950.28	326007.12	tr|E9QJT6|E9QJT6_MOUSE, tr|F8WI26|F8WI26_MOUSE
sp|Q68FD5|CLH1_MOUSE	Q68FD5	CLH1_MOUSE	Cltc	1675	Mus musculus	1:Experimental evidence at protein level	Clathrin heavy chain 1	1.0	0.999	66	939	0	939	157	166	133	182	154	147	0	0	0	0	0	0	157	166	133	182	154	147	1.5743581E7	1.4224017E7	1.2845763E7	1.7455158E7	1.5487593E7	1.4647128E7	1110174.5	1069515.6	1088867.6	1146696.5	1097646.2	1095677.1	tr|Q5SXR6|Q5SXR6_MOUSE
sp|Q68FF6|GIT1_MOUSE	Q68FF6	GIT1_MOUSE	Git1	770	Mus musculus	1:Experimental evidence at protein level	ARF GTPase-activating protein GIT1	1.0	0.999	3	6	0	6	1	0	1	2	2	0	0	0	0	0	0	0	1	0	1	2	2	0	72630.43	0.0	53962.363	112492.75	42059.055	0.0	66334.04	0.0	49284.324	69229.016	56930.363	0.0	tr|Q5F258|Q5F258_MOUSE
sp|Q68FH4|GALK2_MOUSE	Q68FH4	GALK2_MOUSE	Galk2	458	Mus musculus	1:Experimental evidence at protein level	N-acetylgalactosamine kinase	1.0	0.999	10	42	0	42	6	9	6	8	7	6	0	0	0	0	0	0	6	9	6	8	7	6	254322.69	451348.56	336976.28	394422.22	590920.1	365957.62	117783.22	112789.45	90580.81	137808.78	158101.42	100309.75	
sp|Q68FL4|SAHH3_MOUSE	Q68FL4	SAHH3_MOUSE	Ahcyl2	613	Mus musculus	1:Experimental evidence at protein level	Putative adenosylhomocysteinase 3	1.0	0.999	15	80	0	110	11	18	9	14	14	14	0	0	0	0	0	0	16	24	12	21	18	19	1232738.5	1327944.5	912305.75	1669137.6	1475401.9	1279056.8	362277.62	325092.97	277687.97	413521.72	381061.72	289335.75	tr|F8WGT1|F8WGT1_MOUSE
sp|Q68FL6|SYMC_MOUSE	Q68FL6	SYMC_MOUSE	Mars1	902	Mus musculus	1:Experimental evidence at protein level	Methionine--tRNA ligase, cytoplasmic	1.0	0.999	29	209	0	209	30	35	30	37	39	38	0	0	0	0	0	0	30	35	30	37	39	38	2253133.5	2143347.2	2542451.0	3070834.8	3408680.2	1889441.2	514066.56	496973.78	469071.66	574496.6	582921.2	447039.7	tr|E9QB02|E9QB02_MOUSE
sp|Q69Z98-3|BRSK2_MOUSE	Q69Z98-3	BRSK2_MOUSE	Brsk2	719	Mus musculus		Isoform 3 of Serine/threonine-protein kinase BRSK2	1.0	0.999	3	8	0	8	0	2	2	2	1	1	0	0	0	0	0	0	0	2	2	2	1	1	0.0	59043.766	76033.336	75490.56	68781.664	43489.95	0.0	59552.61	37323.297	76399.94	69610.22	44013.84	sp|Q69Z98|BRSK2_MOUSE
sp|Q69ZP3-2|PNKD_MOUSE	Q69ZP3-2	PNKD_MOUSE	Pnkd	142	Mus musculus		Isoform 2 of Probable hydrolase PNKD	1.0	0.999	2	10	0	10	2	1	1	3	2	1	0	0	0	0	0	0	2	1	1	3	2	1	42081.426	58372.87	66097.47	87396.625	75811.03	56923.523	41788.027	57965.883	65636.625	46727.305	87811.0	56526.64	tr|A0A0R4J1J1|A0A0R4J1J1_MOUSE
sp|Q69ZR2|HECD1_MOUSE	Q69ZR2	HECD1_MOUSE	Hectd1	2618	Mus musculus	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase HECTD1	1.0	0.999	7	25	0	25	6	5	2	5	2	5	0	0	0	0	0	0	6	5	2	5	2	5	150136.16	110221.08	76697.09	181323.94	61728.043	160422.81	51207.246	43790.29	61521.594	45064.746	34905.695	45436.973	tr|F8WIE5|F8WIE5_MOUSE
sp|Q69ZS7-2|HBS1L_MOUSE	Q69ZS7-2	HBS1L_MOUSE	Hbs1l	599	Mus musculus		Isoform 2 of HBS1-like protein	1.0	0.999	19	93	0	93	13	16	10	18	19	17	0	0	0	0	0	0	13	16	10	18	19	17	995659.75	829394.56	792121.8	1131004.9	1189266.6	833322.75	228896.22	195561.2	221478.11	218936.45	207619.34	203015.61	sp|Q69ZS7|HBS1L_MOUSE, tr|Q3TGM7|Q3TGM7_MOUSE
sp|Q69ZT9|TBC30_MOUSE	Q69ZT9	TBC30_MOUSE	Tbc1d30	766	Mus musculus	1:Experimental evidence at protein level	TBC1 domain family member 30	0.9169	0.9987	1	2	2	2	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0.0	23042.846	0.0	0.0	0.0	36240.848	0.0	23042.846	0.0	0.0	0.0	36240.848	
sp|Q6A009|LTN1_MOUSE	Q6A009	LTN1_MOUSE	Ltn1	1767	Mus musculus	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase listerin	1.0	0.999	8	40	18	40	9	9	4	5	6	7	3	4	3	3	2	3	9	9	4	5	6	7	250492.98	235607.31	124948.34	227076.89	204669.81	195924.34	89087.82	51382.996	37744.027	75682.56	92500.484	65709.79	
sp|Q6A026|PDS5A_MOUSE	Q6A026	PDS5A_MOUSE	Pds5a	1332	Mus musculus	1:Experimental evidence at protein level	Sister chromatid cohesion protein PDS5 homolog A	1.0	0.999	10	50	0	50	6	9	5	11	10	9	0	0	0	0	0	0	6	9	5	11	10	9	135283.12	390105.9	101124.336	278812.28	221428.86	205126.5	45511.723	61744.816	50562.24	61283.28	54237.566	56700.824	tr|E9QPI5|E9QPI5_MOUSE
sp|Q6A068|CDC5L_MOUSE	Q6A068	CDC5L_MOUSE	Cdc5l	802	Mus musculus	1:Experimental evidence at protein level	Cell division cycle 5-like protein	1.0	0.999	9	32	1	32	6	7	4	4	3	8	1	0	0	0	0	0	6	7	4	4	3	8	215940.62	222336.72	391303.62	218657.27	120215.625	268839.5	81678.64	78500.78	100136.27	81530.68	53810.99	90702.24	
sp|Q6A098|SBP2L_MOUSE	Q6A098	SBP2L_MOUSE	Secisbp2l	1086	Mus musculus	1:Experimental evidence at protein level	Selenocysteine insertion sequence-binding protein 2-like	1.0	0.9979	3	8	0	8	3	1	1	1	1	1	0	0	0	0	0	0	3	1	1	1	1	1	193870.0	5035.355	1081.0084	339.129	3438.8943	4835.0786	20488.605	10466.723	1081.0084	339.129	7148.2456	10050.419	tr|A2AQE2|A2AQE2_MOUSE
sp|Q6A0A2|LAR4B_MOUSE	Q6A0A2	LAR4B_MOUSE	Larp4b	741	Mus musculus	1:Experimental evidence at protein level	La-related protein 4B	1.0	0.999	6	32	0	32	7	3	3	9	6	4	0	0	0	0	0	0	7	3	3	9	6	4	210258.55	127107.82	125599.69	192753.1	165184.0	124296.22	70470.914	58347.74	69977.52	63532.51	53957.93	70851.016	
sp|Q6A0A9|F120A_MOUSE	Q6A0A9	F120A_MOUSE	FAM120A	1112	Mus musculus	1:Experimental evidence at protein level	Constitutive coactivator of PPAR-gamma-like protein 1	1.0	0.999	19	89	89	89	17	17	12	17	11	15	17	17	12	17	11	15	17	17	12	17	11	15	782786.06	998532.06	860811.44	1072079.5	650929.8	965708.1	133248.19	165634.78	184431.38	156626.39	135238.81	163654.67	
sp|Q6A4J8-2|UBP7_MOUSE	Q6A4J8-2	UBP7_MOUSE	Usp7	1143	Mus musculus		Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 7	1.0	0.999	9	29	0	29	2	5	2	4	10	6	0	0	0	0	0	0	2	5	2	4	10	6	185606.22	110102.195	54678.19	79803.19	193129.45	127168.89	149750.84	44307.043	58826.625	31798.256	44572.785	56953.582	sp|Q6A4J8-3|UBP7_MOUSE, sp|Q6A4J8|UBP7_MOUSE, tr|E9PXY8|E9PXY8_MOUSE, tr|F8VPX1|F8VPX1_MOUSE
sp|Q6AW69-3|CGNL1_MOUSE	Q6AW69-3	CGNL1_MOUSE	Cgnl1	1226	Mus musculus		Isoform 3 of Cingulin-like protein 1	1.0	0.999	13	42	0	42	6	8	4	8	7	9	0	0	0	0	0	0	6	8	4	8	7	9	292886.34	378453.5	191199.33	289860.72	202340.19	378996.5	76958.98	78190.02	76442.02	65288.97	54786.996	80526.625	sp|Q6AW69-5|CGNL1_MOUSE, sp|Q6AW69|CGNL1_MOUSE, tr|D3Z3H4|D3Z3H4_MOUSE
sp|Q6DFW4|NOP58_MOUSE	Q6DFW4	NOP58_MOUSE	Nop58	536	Mus musculus	1:Experimental evidence at protein level	Nucleolar protein 58	1.0	0.999	13	161	0	161	23	38	17	36	23	24	0	0	0	0	0	0	23	38	17	36	23	24	1385864.1	1458322.8	989628.3	1801549.1	1417206.9	1623024.9	238431.03	236845.77	214868.78	226263.27	218264.44	269695.88	
sp|Q6DFW5|AT11B_MOUSE	Q6DFW5	AT11B_MOUSE	Atp11b	1175	Mus musculus	1:Experimental evidence at protein level	Phospholipid-transporting ATPase IF	1.0	0.9985	2	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	16306.017	23544.127	0.0	13676.395	0.0	0.0	0.0	23544.127	0.0	13676.395	0.0	0.0	
sp|Q6DVA0|LEMD2_MOUSE	Q6DVA0	LEMD2_MOUSE	Lemd2	511	Mus musculus	1:Experimental evidence at protein level	LEM domain-containing protein 2	1.0	0.999	5	14	14	14	1	5	3	2	1	2	1	5	3	2	1	2	1	5	3	2	1	2	103450.945	175101.58	158770.11	181660.52	105261.05	77051.305	111637.195	54473.598	52598.516	94402.09	113590.53	44918.746	
sp|Q6EDY6-3|CARL1_MOUSE	Q6EDY6-3	CARL1_MOUSE	Carmil1	1342	Mus musculus		Isoform 3 of F-actin-uncapping protein LRRC16A	1.0	0.999	3	7	0	7	1	2	1	1	0	2	0	0	0	0	0	0	1	2	1	1	0	2	32899.453	36680.883	3588.986	27207.93	0.0	43907.58	0.0	21200.037	6999.6333	23023.697	0.0	26403.062	sp|Q6EDY6|CARL1_MOUSE, tr|D3Z030|D3Z030_MOUSE, tr|F7AI27|F7AI27_MOUSE
sp|Q6GQT9|NOMO1_MOUSE	Q6GQT9	NOMO1_MOUSE	Nomo1	1214	Mus musculus	1:Experimental evidence at protein level	BOS complex subunit NOMO1	1.0	0.999	33	331	331	331	54	67	50	53	51	56	54	67	50	53	51	56	54	67	50	53	51	56	2726977.8	3718392.0	2238766.0	3117366.8	3756862.2	2960164.2	284188.53	378197.44	298973.16	309254.3	315152.9	312154.2	
sp|Q6GV12|KDSR_MOUSE	Q6GV12	KDSR_MOUSE	Kdsr	332	Mus musculus	1:Experimental evidence at protein level	3-ketodihydrosphingosine reductase	1.0	0.999	3	5	5	5	0	2	1	1	1	0	0	2	1	1	1	0	0	2	1	1	1	0	0.0	32216.068	35045.914	303393.88	100822.87	0.0	0.0	0.0	0.0	303393.88	100822.87	0.0	
sp|Q6IFX2|K1C42_MOUSE	Q6IFX2	K1C42_MOUSE	Krt42	452	Mus musculus	1:Experimental evidence at protein level	Keratin, type I cytoskeletal 42	1.0	0.999	28	100	74	427	34	13	11	8	18	16	23	10	11	5	11	14	141	44	57	39	85	61	9249839.0	1150017.2	1206920.2	1440996.1	4630845.0	1890865.6	3377961.0	533836.2	798759.3	518854.72	1728238.8	840989.56	
sp|Q6IFZ6|K2C1B_MOUSE	Q6IFZ6	K2C1B_MOUSE	Krt77	572	Mus musculus	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1b	1.0	0.999	18	80	42	629	23	8	13	11	17	8	17	2	6	5	10	2	221	53	82	60	144	69	5082259.5	978994.6	1063748.4	1090474.1	2778584.5	885631.06	1703293.8	435464.53	504212.44	313404.2	972176.06	398264.22	
sp|Q6IFZ9|K2C74_MOUSE	Q6IFZ9	K2C74_MOUSE	Krt74	495	Mus musculus	3:Protein inferred from homology	Keratin, type II cytoskeletal 74	1.0	0.9985	8	1	1	269	1	0	0	0	0	0	1	0	0	0	0	0	105	19	31	25	59	30	4523.904	0.0	0.0	22633.123	0.0	0.0	4523.904	0.0	0.0	22633.123	0.0	0.0	
sp|Q6IME9|K2C72_MOUSE	Q6IME9	K2C72_MOUSE	Krt72	520	Mus musculus	3:Protein inferred from homology	Keratin, type II cytoskeletal 72	1.0	0.999	8	27	27	119	6	4	2	5	6	4	6	4	2	5	6	4	36	14	13	16	23	17	4467285.0	719417.4	270018.1	369802.1	4478571.5	523148.1	4467285.0	719417.4	270018.1	369802.1	4478571.5	523148.1	
sp|Q6IR34-2|GPSM1_MOUSE	Q6IR34-2	GPSM1_MOUSE	Gpsm1	613	Mus musculus		Isoform 2 of G-protein-signaling modulator 1	1.0	0.999	2	13	0	13	5	2	2	1	1	2	0	0	0	0	0	0	5	2	2	1	1	2	117392.56	90104.445	101549.33	12868.19	63098.746	56218.094	85776.484	64333.293	51825.9	51606.87	55614.785	49550.227	sp|Q6IR34-3|GPSM1_MOUSE, sp|Q6IR34-5|GPSM1_MOUSE, sp|Q6IR34|GPSM1_MOUSE, tr|A2AIV3|A2AIV3_MOUSE, tr|F6SX81|F6SX81_MOUSE
sp|Q6IRU2|TPM4_MOUSE	Q6IRU2	TPM4_MOUSE	Tpm4	248	Mus musculus	1:Experimental evidence at protein level	Tropomyosin alpha-4 chain	1.0	0.999	14	51	39	62	10	8	6	11	7	9	6	6	5	9	6	7	12	10	7	13	8	12	493334.94	379408.62	341046.16	683611.75	330301.3	463610.12	116564.37	91146.26	96615.336	122573.64	108160.82	97508.19	
sp|Q6IRU5-2|CLCB_MOUSE	Q6IRU5-2	CLCB_MOUSE	Cltb	211	Mus musculus		Isoform 2 of Clathrin light chain B	1.0	0.999	9	33	0	33	4	6	4	8	8	3	0	0	0	0	0	0	4	6	4	8	8	3	253550.11	298002.38	286925.25	680981.1	715009.6	224804.75	118772.24	124633.945	117293.17	197629.52	174078.11	122103.54	sp|Q6IRU5|CLCB_MOUSE
sp|Q6KAR6|EXOC3_MOUSE	Q6KAR6	EXOC3_MOUSE	Exoc3	755	Mus musculus	1:Experimental evidence at protein level	Exocyst complex component 3	1.0	0.999	6	14	14	14	2	4	0	4	0	4	2	4	0	4	0	4	2	4	0	4	0	4	60067.062	106732.94	0.0	90532.25	0.0	126057.48	39501.36	35425.516	0.0	35409.18	0.0	40198.164	
sp|Q6NS46|RRP5_MOUSE	Q6NS46	RRP5_MOUSE	Pdcd11	1862	Mus musculus	1:Experimental evidence at protein level	Protein RRP5 homolog	1.0	0.999	7	20	20	20	1	7	3	1	1	7	1	7	3	1	1	7	1	7	3	1	1	7	79015.586	246542.34	140056.64	92098.766	55478.01	211385.08	114172.6	71527.92	71720.01	87453.484	0.0	76561.64	
sp|Q6NSQ7|LTV1_MOUSE	Q6NSQ7	LTV1_MOUSE	Ltv1	470	Mus musculus	1:Experimental evidence at protein level	Protein LTV1 homolog	0.9334	0.999	1	6	6	6	2	1	0	1	1	1	2	1	0	1	1	1	2	1	0	1	1	1	56266.863	56621.426	0.0	70015.49	59618.73	62395.902	56266.863	56621.426	0.0	70015.49	59618.73	62395.902	
sp|Q6NSR8|PEPL1_MOUSE	Q6NSR8	PEPL1_MOUSE	Npepl1	524	Mus musculus	1:Experimental evidence at protein level	Probable aminopeptidase NPEPL1	1.0	0.999	3	22	15	22	3	3	2	5	3	6	2	2	1	4	2	4	3	3	2	5	3	6	212155.12	157688.72	61067.727	211572.5	125454.86	189977.14	72542.01	61989.703	56352.97	81223.34	62426.41	64182.23	
sp|Q6NT99|DUS23_MOUSE	Q6NT99	DUS23_MOUSE	Dusp23	150	Mus musculus	1:Experimental evidence at protein level	Dual specificity protein phosphatase 23	1.0	0.999	4	16	16	16	1	2	3	6	2	2	1	2	3	6	2	2	1	2	3	6	2	2	38523.316	72496.69	77739.52	239182.34	128795.234	94999.84	52053.605	46524.52	41936.867	72404.69	80305.57	54829.793	
sp|Q6NV83-2|SR140_MOUSE	Q6NV83-2	SR140_MOUSE	U2surp	1028	Mus musculus		Isoform 2 of U2 snRNP-associated SURP motif-containing protein	1.0	0.999	8	24	0	24	3	5	4	4	3	5	0	0	0	0	0	0	3	5	4	4	3	5	110822.8	140050.6	128875.05	181101.38	85297.57	166752.72	63586.41	51489.312	56563.39	64024.758	53495.402	50317.477	sp|Q6NV83-3|SR140_MOUSE, sp|Q6NV83|SR140_MOUSE
sp|Q6NVF9|CPSF6_MOUSE	Q6NVF9	CPSF6_MOUSE	Cpsf6	551	Mus musculus	1:Experimental evidence at protein level	Cleavage and polyadenylation specificity factor subunit 6	1.0	0.999	1	14	0	14	2	2	3	2	2	3	0	0	0	0	0	0	2	2	3	2	2	3	150145.9	130667.39	66333.81	211302.25	155654.78	127412.56	94205.49	83931.45	66333.81	135939.45	99532.41	80414.336	tr|H3BJ30|H3BJ30_MOUSE, tr|H3BJW3|H3BJW3_MOUSE, tr|H3BKW0|H3BKW0_MOUSE
sp|Q6NWW9|FND3B_MOUSE	Q6NWW9	FND3B_MOUSE	Fndc3b	1207	Mus musculus	1:Experimental evidence at protein level	Fibronectin type III domain-containing protein 3B	1.0	0.999	9	27	0	27	4	6	2	6	2	7	0	0	0	0	0	0	4	6	2	6	2	7	102007.375	113316.19	22021.639	209494.7	110840.516	128357.3	52495.42	41318.75	60466.156	33398.125	47300.59	42480.336	tr|A0A0R4J0H8|A0A0R4J0H8_MOUSE
sp|Q6NXH9|K2C73_MOUSE	Q6NXH9	K2C73_MOUSE	Krt73	539	Mus musculus	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 73	0.9992	0.999	11	7	7	485	4	0	0	1	0	2	4	0	0	1	0	2	202	35	42	33	92	81	652864.06	0.0	0.0	37633.242	0.0	69695.72	652864.06	0.0	0.0	37633.242	0.0	69695.72	
sp|Q6NXI6-2|RPRD2_MOUSE	Q6NXI6-2	RPRD2_MOUSE	Rprd2	1425	Mus musculus		Isoform 2 of Regulation of nuclear pre-mRNA domain-containing protein 2	0.9992	0.999	2	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0.0	25076.123	0.0	0.0	0.0	19424.836	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q6NXI6|RPRD2_MOUSE, tr|A0A0G2JFW6|A0A0G2JFW6_MOUSE
sp|Q6NXN1-2|SZRD1_MOUSE	Q6NXN1-2	SZRD1_MOUSE	Szrd1	133	Mus musculus		Isoform 2 of SUZ domain-containing protein 1	0.9333	0.999	1	3	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0.0	0.0	0.0	34606.85	36004.973	25174.39	0.0	0.0	0.0	34606.85	36004.973	25174.39	sp|Q6NXN1|SZRD1_MOUSE, tr|A2AA85|A2AA85_MOUSE
sp|Q6NZB0|DNJC8_MOUSE	Q6NZB0	DNJC8_MOUSE	Dnajc8	253	Mus musculus	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 8	0.9992	0.9989	2	3	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0.0	37312.0	0.0	31543.852	0.0	43013.51	0.0	37312.0	0.0	31543.852	0.0	0.0	tr|A2ALF0|A2ALF0_MOUSE, tr|A2ALF3|A2ALF3_MOUSE, tr|F7CXJ2|F7CXJ2_MOUSE
sp|Q6NZC7|S23IP_MOUSE	Q6NZC7	S23IP_MOUSE	Sec23ip	998	Mus musculus	1:Experimental evidence at protein level	SEC23-interacting protein	0.9999	0.999	22	1	1	88	0	0	1	0	0	0	0	0	1	0	0	0	12	13	15	19	15	14	0.0	0.0	79245.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NZF1|ZC11A_MOUSE	Q6NZF1	ZC11A_MOUSE	Zc3h11a	792	Mus musculus	1:Experimental evidence at protein level	Zinc finger CCCH domain-containing protein 11A	1.0	0.999	2	6	5	6	1	0	1	2	1	1	1	0	0	2	1	1	1	0	1	2	1	1	33276.855	0.0	547.57385	27808.934	21004.418	25483.693	33276.855	0.0	0.0	27808.934	21004.418	25483.693	
sp|Q6NZQ2|DDX31_MOUSE	Q6NZQ2	DDX31_MOUSE	Ddx31	687	Mus musculus	2:Experimental evidence at transcript level	Probable ATP-dependent RNA helicase DDX31	0.9326	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	19166.727	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6NZR5|SKI2_MOUSE	Q6NZR5	SKI2_MOUSE	Skic2	1244	Mus musculus	2:Experimental evidence at transcript level	Superkiller complex protein 2	1.0	0.999	32	168	102	168	22	32	22	34	32	26	13	21	13	24	16	15	22	32	22	34	32	26	1415769.0	2052885.9	1391568.0	1941341.5	1806723.5	1511454.8	314634.25	336017.2	299592.5	293674.88	315548.12	313887.38	
sp|Q6P069-2|SORCN_MOUSE	Q6P069-2	SORCN_MOUSE	Sri	183	Mus musculus		Isoform 2 of Sorcin	1.0	0.999	2	6	0	6	1	0	0	2	2	1	0	0	0	0	0	0	1	0	0	2	2	1	205478.6	0.0	0.0	326094.06	324847.5	49896.25	205478.6	0.0	0.0	248831.44	247096.81	49896.25	sp|Q6P069|SORCN_MOUSE
sp|Q6P1B1|XPP1_MOUSE	Q6P1B1	XPP1_MOUSE	Xpnpep1	623	Mus musculus	1:Experimental evidence at protein level	Xaa-Pro aminopeptidase 1	1.0	0.999	11	55	0	55	7	12	11	8	10	7	0	0	0	0	0	0	7	12	11	8	10	7	527959.44	757459.25	728545.1	684512.7	545990.8	487551.53	193498.33	246721.25	259841.62	211548.38	219020.06	193138.88	tr|Q3UE92|Q3UE92_MOUSE
sp|Q6P1F6|2ABA_MOUSE	Q6P1F6	2ABA_MOUSE	Ppp2r2a	447	Mus musculus	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	1.0	0.999	9	46	6	46	9	7	4	12	6	8	1	1	1	1	1	1	9	7	4	12	6	8	371499.56	400686.06	294914.03	329129.28	517682.8	484293.3	107690.3	122414.766	107313.47	106833.0	141858.45	126980.375	
sp|Q6P1G0|HEAT6_MOUSE	Q6P1G0	HEAT6_MOUSE	Heatr6	1184	Mus musculus	1:Experimental evidence at protein level	HEAT repeat-containing protein 6	0.9829	0.9964	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	89320.72	0.0	0.0	0.0	0.0	0.0	0.0	
