Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	endo_control_1 Spectral Count	endo_control_2 Spectral Count	endo_control_3 Spectral Count	endo_hyb_1 Spectral Count	endo_hyb_2 Spectral Count	endo_hyb_3 Spectral Count	endo_control_1 Unique Spectral Count	endo_control_2 Unique Spectral Count	endo_control_3 Unique Spectral Count	endo_hyb_1 Unique Spectral Count	endo_hyb_2 Unique Spectral Count	endo_hyb_3 Unique Spectral Count	endo_control_1 Total Spectral Count	endo_control_2 Total Spectral Count	endo_control_3 Total Spectral Count	endo_hyb_1 Total Spectral Count	endo_hyb_2 Total Spectral Count	endo_hyb_3 Total Spectral Count	endo_control_1 Intensity	endo_control_2 Intensity	endo_control_3 Intensity	endo_hyb_1 Intensity	endo_hyb_2 Intensity	endo_hyb_3 Intensity	endo_control_1 MaxLFQ Intensity	endo_control_2 MaxLFQ Intensity	endo_control_3 MaxLFQ Intensity	endo_hyb_1 MaxLFQ Intensity	endo_hyb_2 MaxLFQ Intensity	endo_hyb_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q78T81|EEIG1_MOUSE	Q78T81	EEIG1_MOUSE	Eeig1	392	Mus musculus	1:Experimental evidence at protein level	Early estrogen-induced gene 1 protein	1.0	0.999	3	6	5	6	2	1	0	3	0	0	1	1	0	3	0	0	2	1	0	3	0	0	342645.12	17270.545	0.0	21209.436	0.0	0.0	0.0	17270.545	0.0	21209.436	0.0	0.0	
sp|Q78XF5|OSTC_MOUSE	Q78XF5	OSTC_MOUSE	Ostc	149	Mus musculus	1:Experimental evidence at protein level	Oligosaccharyltransferase complex subunit OSTC	1.0	0.999	2	6	6	6	2	0	0	2	2	0	2	0	0	2	2	0	2	0	0	2	2	0	197685.55	528040.7	0.0	160505.23	167044.2	110134.586	128304.46	272316.94	0.0	105433.164	109600.43	134854.16	
sp|Q78YZ6-2|SCOC_MOUSE	Q78YZ6-2	SCOC_MOUSE	Scoc	82	Mus musculus		Isoform 2 of Short coiled-coil protein	0.9433	0.999	1	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.0	0.0	0.0	25078.396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q78YZ6-3|SCOC_MOUSE, sp|Q78YZ6|SCOC_MOUSE
sp|Q78ZA7|NP1L4_MOUSE	Q78ZA7	NP1L4_MOUSE	Nap1l4	375	Mus musculus	1:Experimental evidence at protein level	Nucleosome assembly protein 1-like 4	1.0	0.999	12	130	0	130	25	28	6	32	29	10	0	0	0	0	0	0	25	28	6	32	29	10	1815959.6	1850945.0	167887.28	1817399.5	2160805.2	1408944.0	302240.75	292299.12	366483.38	336194.75	341195.9	295176.2	tr|B7ZNL2|B7ZNL2_MOUSE
sp|Q791T5-2|MTCH1_MOUSE	Q791T5-2	MTCH1_MOUSE	Mtch1	372	Mus musculus		Isoform 2 of Mitochondrial carrier homolog 1	1.0	0.999	8	36	0	36	7	12	1	5	7	4	0	0	0	0	0	0	7	12	1	5	7	4	567893.25	444815.3	54669.586	263572.03	411658.38	796266.56	173028.4	166177.44	157242.75	123390.62	123753.11	207229.14	sp|Q791T5|MTCH1_MOUSE
sp|Q791V5|MTCH2_MOUSE	Q791V5	MTCH2_MOUSE	Mtch2	303	Mus musculus	1:Experimental evidence at protein level	Mitochondrial carrier homolog 2	1.0	0.999	6	43	7	43	7	7	2	15	9	3	2	1	0	3	1	0	7	7	2	15	9	3	486022.3	296499.84	214327.39	742023.2	620070.1	552005.56	135674.94	89714.65	289949.78	266205.53	154603.12	256818.27	
sp|Q7JJ13|BRD2_MOUSE	Q7JJ13	BRD2_MOUSE	Brd2	798	Mus musculus	1:Experimental evidence at protein level	Bromodomain-containing protein 2	1.0	0.999	3	3	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	50886.64	7528.2114	0.0	75833.28	33364.73	0.0	31944.432	15565.423	0.0	45242.035	30076.305	0.0	
sp|Q7M6Y3-5|PICAL_MOUSE	Q7M6Y3-5	PICAL_MOUSE	Picalm	655	Mus musculus		Isoform 5 of Phosphatidylinositol-binding clathrin assembly protein	1.0	0.999	12	60	0	60	13	16	3	15	11	2	0	0	0	0	0	0	13	16	3	15	11	2	852315.94	836916.2	412369.6	1183072.8	727613.44	424429.5	267371.78	279125.03	344125.38	327321.56	264392.34	252144.28	
sp|Q7M753|PANK2_MOUSE	Q7M753	PANK2_MOUSE	Pank2	456	Mus musculus	1:Experimental evidence at protein level	Pantothenate kinase 2, mitochondrial	0.9998	0.999	1	3	0	3	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	32631.648	41179.895	0.0	0.0	51485.902	0.0	32631.648	41179.895	0.0	0.0	51485.902	0.0	
sp|Q7TMB8|CYFP1_MOUSE	Q7TMB8	CYFP1_MOUSE	Cyfip1	1253	Mus musculus	1:Experimental evidence at protein level	Cytoplasmic FMR1-interacting protein 1	1.0	0.999	20	57	0	61	14	13	0	17	11	2	0	0	0	0	0	0	15	14	0	18	12	2	680636.0	635847.7	0.0	577471.6	629287.8	234080.1	112043.1	104328.34	0.0	95804.17	97791.125	105883.766	
sp|Q7TMC8|FCSK_MOUSE	Q7TMC8	FCSK_MOUSE	Fcsk	1090	Mus musculus	1:Experimental evidence at protein level	L-fucose kinase	1.0	0.999	6	16	5	16	3	2	0	6	4	1	1	2	0	1	1	0	3	2	0	6	4	1	285466.56	233177.58	0.0	264132.5	373284.28	86384.74	160123.12	143918.36	0.0	111820.6	156305.28	86384.74	
sp|Q7TMF3|NDUAC_MOUSE	Q7TMF3	NDUAC_MOUSE	Ndufa12	145	Mus musculus	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	1.0	0.999	10	52	0	52	6	14	3	13	14	2	0	0	0	0	0	0	6	14	3	13	14	2	1048242.56	901329.7	186460.8	609610.44	908874.7	672410.9	380842.12	374611.6	202229.94	359652.47	345878.75	342122.3	tr|A0A0R4J275|A0A0R4J275_MOUSE
sp|Q7TMF5|SPA12_MOUSE	Q7TMF5	SPA12_MOUSE	Serpina12	413	Mus musculus	1:Experimental evidence at protein level	Serpin A12	0.9926	0.9974	1	3	3	3	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	2	0.0	0.0	0.0	47922.426	0.0	128397.945	0.0	0.0	0.0	47922.426	0.0	128397.945	
sp|Q7TMK6|HOOK2_MOUSE	Q7TMK6	HOOK2_MOUSE	Hook2	716	Mus musculus	1:Experimental evidence at protein level	Protein Hook homolog 2	1.0	0.999	8	16	0	16	3	4	0	4	5	0	0	0	0	0	0	0	3	4	0	4	5	0	268257.3	236379.2	0.0	162276.8	250724.5	255173.81	62154.11	63128.434	0.0	59913.777	64423.734	151367.55	tr|A0A1B0GT78|A0A1B0GT78_MOUSE
sp|Q7TMK9|HNRPQ_MOUSE	Q7TMK9	HNRPQ_MOUSE	Syncrip	623	Mus musculus	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein Q	1.0	0.999	27	187	0	187	34	32	6	54	44	17	0	0	0	0	0	0	34	32	6	54	44	17	4162511.8	3237261.5	1184370.2	3634188.8	3593235.5	3175381.8	615360.1	514477.44	754804.6	675672.1	584314.4	655178.94	
sp|Q7TMM9|TBB2A_MOUSE	Q7TMM9	TBB2A_MOUSE	Tubb2a	445	Mus musculus	1:Experimental evidence at protein level	Tubulin beta-2A chain	1.0	0.999	30	253	20	1285	41	48	24	62	62	16	2	5	1	3	7	2	233	229	137	279	300	107	8738610.0	8567290.0	6583855.0	9342011.0	8645477.0	6352035.5	2571647.8	1952264.9	3077998.0	3149257.2	3261329.5	2210033.2	
sp|Q7TMQ7|WDR91_MOUSE	Q7TMQ7	WDR91_MOUSE	Wdr91	748	Mus musculus	1:Experimental evidence at protein level	WD repeat-containing protein 91	1.0	0.999	3	3	1	3	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	65782.31	64169.48	0.0	69252.76	56829.168	0.0	38523.51	34187.414	0.0	35564.844	33363.695	0.0	
sp|Q7TMY4-2|THOC7_MOUSE	Q7TMY4-2	THOC7_MOUSE	Thoc7	137	Mus musculus		Isoform 2 of THO complex subunit 7 homolog	0.7794	0.9953	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30556.63	30220.713	0.0	0.0	36969.402	0.0	30556.63	30220.713	0.0	0.0	36969.402	0.0	sp|Q7TMY4|THOC7_MOUSE, tr|A0A286YCS0|A0A286YCS0_MOUSE, tr|A0A286YDT0|A0A286YDT0_MOUSE, tr|A0A286YEA7|A0A286YEA7_MOUSE
sp|Q7TMY8|HUWE1_MOUSE	Q7TMY8	HUWE1_MOUSE	Huwe1	4377	Mus musculus	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase HUWE1	1.0	0.999	46	168	0	168	29	34	4	51	47	3	0	0	0	0	0	0	29	34	4	51	47	3	3354723.0	2341320.8	428954.12	2494871.0	3293774.8	2371845.8	481137.03	475901.66	592203.5	484957.84	441838.66	573489.0	tr|A2AFQ0|A2AFQ0_MOUSE
sp|Q7TN29|SMAP2_MOUSE	Q7TN29	SMAP2_MOUSE	Smap2	428	Mus musculus	1:Experimental evidence at protein level	Stromal membrane-associated protein 2	1.0	0.999	11	52	1	52	9	12	2	9	11	9	0	0	0	1	0	0	9	12	2	9	11	9	924953.2	816320.6	149320.02	727103.7	1028871.56	775280.0	158967.12	160087.03	158104.03	234160.1	190082.61	187909.6	
sp|Q7TN33|CELF6_MOUSE	Q7TN33	CELF6_MOUSE	Celf6	460	Mus musculus	2:Experimental evidence at transcript level	CUGBP Elav-like family member 6	0.9935	0.9988	2	2	0	9	0	0	0	2	0	0	0	0	0	0	0	0	2	3	0	3	1	0	0.0	0.0	0.0	19344.242	5402.135	0.0	0.0	0.0	0.0	19344.242	5402.135	0.0	tr|D3YU11|D3YU11_MOUSE, tr|D6RGB9|D6RGB9_MOUSE, tr|D6RHP1|D6RHP1_MOUSE
sp|Q7TN98-2|CPEB4_MOUSE	Q7TN98-2	CPEB4_MOUSE	Cpeb4	721	Mus musculus		Isoform 2 of Cytoplasmic polyadenylation element-binding protein 4	0.9984	0.999	2	6	0	6	2	1	0	2	1	0	0	0	0	0	0	0	2	1	0	2	1	0	100992.41	60791.652	0.0	111932.125	93180.67	670871.4	100992.41	60791.652	0.0	111558.23	93180.67	670871.4	sp|Q7TN98-3|CPEB4_MOUSE, sp|Q7TN98-4|CPEB4_MOUSE, sp|Q7TN98-5|CPEB4_MOUSE, sp|Q7TN98|CPEB4_MOUSE, tr|Q5SU47|Q5SU47_MOUSE, tr|Q5SU48|Q5SU48_MOUSE
sp|Q7TNC4-2|LC7L2_MOUSE	Q7TNC4-2	LC7L2_MOUSE	Luc7l2	325	Mus musculus		Isoform 2 of Putative RNA-binding protein Luc7-like 2	1.0	0.999	12	74	0	74	14	19	0	16	17	8	0	0	0	0	0	0	14	19	0	16	17	8	1234515.9	1236614.9	0.0	1028380.2	1255259.1	1375052.8	206377.84	250841.45	0.0	225907.72	227995.36	241946.9	sp|Q7TNC4-3|LC7L2_MOUSE, sp|Q7TNC4-4|LC7L2_MOUSE, sp|Q7TNC4|LC7L2_MOUSE
sp|Q7TNC9-2|I5P1_MOUSE	Q7TNC9-2	I5P1_MOUSE	Inpp5a	422	Mus musculus		Isoform 2 of Inositol polyphosphate-5-phosphatase A	1.0	0.999	3	9	0	9	2	2	0	2	3	0	0	0	0	0	0	0	2	2	0	2	3	0	38770.402	57439.805	0.0	51015.773	72088.98	0.0	38770.402	29469.111	0.0	36262.363	37442.94	0.0	sp|Q7TNC9|I5P1_MOUSE, tr|Q3TZT4|Q3TZT4_MOUSE
sp|Q7TNE3|SPAG7_MOUSE	Q7TNE3	SPAG7_MOUSE	Spag7	227	Mus musculus	1:Experimental evidence at protein level	Sperm-associated antigen 7	1.0	0.999	3	3	1	3	0	2	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	69353.26	115336.86	0.0	25989.832	93554.98	0.0	56166.996	60962.168	0.0	60419.0	53855.59	0.0	
sp|Q7TNF8-2|RIMB1_MOUSE	Q7TNF8-2	RIMB1_MOUSE	Tspoap1	1566	Mus musculus		Isoform 2 of Peripheral-type benzodiazepine receptor-associated protein 1	1.0	0.9967	2	20	0	20	5	3	3	1	5	3	0	0	0	0	0	0	5	3	3	1	5	3	2.5202598E7	1.9329424E7	2.3657282E8	29526.629	1.3656643E7	4.541115E8	2.5202598E7	1.9329424E7	2.3657282E8	29526.629	1.3504229E7	4.541115E8	sp|Q7TNF8-4|RIMB1_MOUSE, sp|Q7TNF8|RIMB1_MOUSE
sp|Q7TNG5-3|EMAL2_MOUSE	Q7TNG5-3	EMAL2_MOUSE	Eml2	841	Mus musculus		Isoform 3 of Echinoderm microtubule-associated protein-like 2	1.0	0.999	12	68	0	68	13	20	4	14	11	6	0	0	0	0	0	0	13	20	4	14	11	6	1159718.2	1011771.3	93531.8	562266.56	1008383.7	1171013.9	258954.78	223444.52	93531.8	164949.06	222334.36	299785.3	sp|Q7TNG5|EMAL2_MOUSE
sp|Q7TNG8|LDHD_MOUSE	Q7TNG8	LDHD_MOUSE	Ldhd	484	Mus musculus	1:Experimental evidence at protein level	Probable D-lactate dehydrogenase, mitochondrial	1.0	0.999	4	5	5	5	2	2	0	1	0	0	2	2	0	1	0	0	2	2	0	1	0	0	134401.84	102987.83	0.0	46284.812	0.0	0.0	91991.984	71693.375	0.0	0.0	0.0	0.0	
sp|Q7TNP2|2AAB_MOUSE	Q7TNP2	2AAB_MOUSE	Ppp2r1b	601	Mus musculus	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	1.0	0.999	14	50	0	68	7	13	2	15	12	1	0	0	0	0	0	0	12	17	3	18	16	2	368222.28	403327.06	175108.12	631396.75	484642.72	126902.78	82943.83	67496.01	114271.76	122438.086	106007.805	95991.99	
sp|Q7TNV0|DEK_MOUSE	Q7TNV0	DEK_MOUSE	Dek	380	Mus musculus	1:Experimental evidence at protein level	Protein DEK	1.0	0.999	7	19	6	19	5	4	0	3	5	2	1	1	0	1	1	2	5	4	0	3	5	2	394378.34	510716.28	0.0	157380.72	300756.6	334795.0	105494.586	96739.91	0.0	128739.3	83605.72	126878.02	
sp|Q7TPC1|CDSN_MOUSE	Q7TPC1	CDSN_MOUSE	Cdsn	561	Mus musculus	2:Experimental evidence at transcript level	Corneodesmosin	0.9999	0.999	1	10	10	10	3	1	2	1	1	2	3	1	2	1	1	2	3	1	2	1	1	2	123693.65	183734.78	316236.62	88532.11	137388.14	873380.8	123693.65	183734.78	316236.62	88532.11	137388.14	873380.8	
sp|Q7TPD0|INT3_MOUSE	Q7TPD0	INT3_MOUSE	Ints3	1041	Mus musculus	1:Experimental evidence at protein level	Integrator complex subunit 3	1.0	0.999	8	30	0	30	3	7	0	10	10	0	0	0	0	0	0	0	3	7	0	10	10	0	194842.14	176338.0	0.0	221864.67	210478.92	39459.637	46811.89	42840.332	0.0	50977.535	41727.06	45798.66	tr|A0A0G2JFJ6|A0A0G2JFJ6_MOUSE
sp|Q7TPD2-2|F185A_MOUSE	Q7TPD2-2	F185A_MOUSE	Fam185a	210	Mus musculus		Isoform 2 of Protein FAM185A	0.9954	0.9986	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22548.81	21378.889	0.0	0.0	21391.95	0.0	22548.81	21378.889	0.0	0.0	21391.95	0.0	sp|Q7TPD2|F185A_MOUSE
sp|Q7TPD3|ROBO2_MOUSE	Q7TPD3	ROBO2_MOUSE	Robo2	1470	Mus musculus	1:Experimental evidence at protein level	Roundabout homolog 2	1.0	0.999	3	6	0	6	0	1	0	3	2	0	0	0	0	0	0	0	0	1	0	3	2	0	927665.6	1055861.6	0.0	57421.656	156601.98	0.0	341639.62	326952.44	0.0	258940.42	114536.42	0.0	tr|A0A2I3BR72|A0A2I3BR72_MOUSE, tr|E9Q6A0|E9Q6A0_MOUSE, tr|Q19AB2|Q19AB2_MOUSE
sp|Q7TPE5|S7A6O_MOUSE	Q7TPE5	S7A6O_MOUSE	Slc7a6os	306	Mus musculus	1:Experimental evidence at protein level	Probable RNA polymerase II nuclear localization protein SLC7A6OS	1.0	0.999	2	2	2	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	23868.46	0.0	0.0	38096.36	0.0	0.0	24935.943	0.0	0.0	19030.002	0.0	0.0	
sp|Q7TPH6-2|MYCB2_MOUSE	Q7TPH6-2	MYCB2_MOUSE	Mycbp2	4746	Mus musculus		Isoform 2 of E3 ubiquitin-protein ligase MYCBP2	1.0	0.999	17	37	0	37	7	7	0	14	7	2	0	0	0	0	0	0	7	7	0	14	7	2	3791002.0	2629431.8	0.0	340312.12	1121476.9	650776.44	926893.7	790622.7	0.0	761420.75	692721.3	442493.38	sp|Q7TPH6|MYCB2_MOUSE, tr|F6SMY7|F6SMY7_MOUSE
sp|Q7TPR4|ACTN1_MOUSE	Q7TPR4	ACTN1_MOUSE	Actn1	892	Mus musculus	1:Experimental evidence at protein level	Alpha-actinin-1	1.0	0.999	56	306	4	547	62	51	13	81	72	27	0	0	0	2	2	0	117	94	28	138	129	41	6172771.5	5068898.5	1094064.6	6876902.5	6916246.5	5404013.5	424773.16	332947.8	446407.7	521651.28	482375.1	390325.4	
sp|Q7TPS5-2|C2CD5_MOUSE	Q7TPS5-2	C2CD5_MOUSE	C2cd5	990	Mus musculus		Isoform 2 of C2 domain-containing protein 5	1.0	0.999	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22427.246	0.0	0.0	50231.43	23402.502	0.0	22427.246	0.0	0.0	26355.469	12716.595	0.0	sp|Q7TPS5-3|C2CD5_MOUSE, sp|Q7TPS5|C2CD5_MOUSE, tr|A0A0N4SW93|A0A0N4SW93_MOUSE, tr|E9Q026|E9Q026_MOUSE
sp|Q7TPV4|MBB1A_MOUSE	Q7TPV4	MBB1A_MOUSE	Mybbp1a	1344	Mus musculus	1:Experimental evidence at protein level	Myb-binding protein 1A	1.0	0.999	34	183	183	183	40	38	4	43	49	9	40	38	4	43	49	9	40	38	4	43	49	9	2374587.2	2309588.8	481600.28	2520368.2	2341307.8	1234186.9	204539.6	220023.25	231814.3	221635.53	201165.69	169417.48	
sp|Q7TPZ8|CBPA1_MOUSE	Q7TPZ8	CBPA1_MOUSE	Cpa1	419	Mus musculus	1:Experimental evidence at protein level	Carboxypeptidase A1	1.0	0.999	18	118	117	132	45	19	5	15	22	12	44	19	5	15	22	12	49	20	9	16	24	14	1.0905905E7	2693722.5	1045457.0	1152103.0	3330755.2	3928931.0	1814234.5	394627.25	622230.6	271445.6	561859.9	769630.1	
sp|Q7TQ95|LNP_MOUSE	Q7TQ95	LNP_MOUSE	Lnpk	425	Mus musculus	1:Experimental evidence at protein level	Endoplasmic reticulum junction formation protein lunapark	1.0	0.999	8	30	13	30	5	9	1	4	11	0	1	5	0	3	4	0	5	9	1	4	11	0	725092.9	573491.56	90728.05	806154.6	645628.25	159473.86	200239.53	181573.8	111135.57	255866.12	197940.58	453236.12	
sp|Q7TQE6|MACOI_MOUSE	Q7TQE6	MACOI_MOUSE	Maco1	664	Mus musculus	1:Experimental evidence at protein level	Macoilin	0.942	0.999	1	3	3	3	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	38006.98	39161.008	0.0	44859.297	11795.171	0.0	38006.98	39161.008	0.0	44859.297	11795.171	0.0	
sp|Q7TQF7|AMPH_MOUSE	Q7TQF7	AMPH_MOUSE	Amph	686	Mus musculus	1:Experimental evidence at protein level	Amphiphysin	1.0	0.999	9	24	0	24	3	7	0	8	6	0	0	0	0	0	0	0	3	7	0	8	6	0	328263.28	332908.16	0.0	322841.62	340159.38	105051.79	71533.234	69785.43	0.0	57486.188	70955.266	144965.11	tr|A0A0G2JEG8|A0A0G2JEG8_MOUSE, tr|A0A668KM31|A0A668KM31_MOUSE
sp|Q7TQH0-2|ATX2L_MOUSE	Q7TQH0-2	ATX2L_MOUSE	Atxn2l	1074	Mus musculus		Isoform 2 of Ataxin-2-like protein	1.0	0.999	15	62	0	62	14	15	0	15	16	2	0	0	0	0	0	0	14	15	0	15	16	2	961055.06	966804.44	0.0	719918.44	843817.7	793043.9	171496.06	177192.12	0.0	156750.58	158286.1	215758.61	
sp|Q7TQI3|OTUB1_MOUSE	Q7TQI3	OTUB1_MOUSE	Otub1	271	Mus musculus	1:Experimental evidence at protein level	Ubiquitin thioesterase OTUB1	1.0	0.999	11	73	2	73	11	16	5	20	15	6	1	1	0	0	0	0	11	16	5	20	15	6	1398887.4	1435965.2	619403.0	1390178.6	1374949.5	1554048.4	387768.47	440007.0	211146.0	421449.34	455466.3	528943.4	
sp|Q7TQK0-2|CCNT2_MOUSE	Q7TQK0-2	CCNT2_MOUSE	Ccnt2	657	Mus musculus		Isoform 2 of Cyclin-T2	1.0	0.9989	3	4	1	4	2	0	0	1	1	0	0	0	0	1	0	0	2	0	0	1	1	0	33374.004	20890.428	0.0	4415.9893	9566.678	0.0	0.0	20890.428	0.0	0.0	9566.678	0.0	
sp|Q7TQK1|INT7_MOUSE	Q7TQK1	INT7_MOUSE	Ints7	966	Mus musculus	1:Experimental evidence at protein level	Integrator complex subunit 7	1.0	0.999	5	14	0	14	2	2	1	4	5	0	0	0	0	0	0	0	2	2	1	4	5	0	150854.69	97962.28	409870.47	166244.66	181707.58	0.0	43647.12	34201.21	631364.56	63802.67	47136.246	0.0	tr|A0A0R4J0E4|A0A0R4J0E4_MOUSE
sp|Q7TQK4|EXOS3_MOUSE	Q7TQK4	EXOS3_MOUSE	Exosc3	274	Mus musculus	1:Experimental evidence at protein level	Exosome complex component RRP40	0.9985	0.999	1	4	0	4	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	1	0	63271.457	31530.809	0.0	44173.33	58088.95	0.0	63271.457	31530.809	0.0	44173.33	58088.95	0.0	
sp|Q7TQK5|CCD93_MOUSE	Q7TQK5	CCD93_MOUSE	Ccdc93	629	Mus musculus	1:Experimental evidence at protein level	Coiled-coil domain-containing protein 93	1.0	0.999	13	27	2	27	6	7	0	8	6	0	0	0	0	2	0	0	6	7	0	8	6	0	343115.34	475350.4	0.0	289859.25	380818.94	82858.12	86695.625	119979.85	0.0	81882.77	79946.58	181563.16	
sp|Q7TS68|NSUN6_MOUSE	Q7TS68	NSUN6_MOUSE	Nsun6	476	Mus musculus	2:Experimental evidence at transcript level	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6	0.9246	0.9986	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	16730.613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|Q8BXZ8|Q8BXZ8_MOUSE
sp|Q7TSC1|PRC2A_MOUSE	Q7TSC1	PRC2A_MOUSE	Prrc2a	2158	Mus musculus	1:Experimental evidence at protein level	Protein PRRC2A	1.0	0.999	13	32	0	36	7	9	0	8	7	1	0	0	0	0	0	0	8	10	0	9	8	1	391940.94	502805.16	0.0	304467.78	413340.4	455955.5	103213.234	106870.016	0.0	99092.95	113735.49	292807.8	
sp|Q7TSE6-2|ST38L_MOUSE	Q7TSE6-2	ST38L_MOUSE	Stk38l	471	Mus musculus		Isoform 2 of Serine/threonine-protein kinase 38-like	1.0	0.999	3	5	0	6	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	3	2	0	30112.457	46901.066	0.0	79354.086	78222.12	0.0	47047.496	41950.656	0.0	45386.75	44232.223	0.0	sp|Q7TSE6|ST38L_MOUSE
sp|Q7TSG2|CTDP1_MOUSE	Q7TSG2	CTDP1_MOUSE	Ctdp1	960	Mus musculus	1:Experimental evidence at protein level	RNA polymerase II subunit A C-terminal domain phosphatase	1.0	0.9989	2	3	3	3	0	1	0	2	0	0	0	1	0	2	0	0	0	1	0	2	0	0	26496.412	32127.918	0.0	25710.973	16760.787	0.0	26496.412	32127.918	0.0	25455.041	16760.787	0.0	
sp|Q7TSH3|ZN516_MOUSE	Q7TSH3	ZN516_MOUSE	Znf516	1157	Mus musculus	1:Experimental evidence at protein level	Zinc finger protein 516	1.0	0.9986	3	3	2	3	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0.0	37664.277	0.0	45220.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q7TSH6-2|SCAF4_MOUSE	Q7TSH6-2	SCAF4_MOUSE	Scaf4	1184	Mus musculus		Isoform 2 of SR-related and CTD-associated factor 4	1.0	0.999	3	13	0	13	3	3	0	2	5	0	0	0	0	0	0	0	3	3	0	2	5	0	91946.46	92122.4	0.0	102376.55	116652.945	0.0	41326.68	43118.51	0.0	60044.086	56273.01	0.0	sp|Q7TSH6-3|SCAF4_MOUSE, sp|Q7TSH6|SCAF4_MOUSE
sp|Q7TSI3|PP6R1_MOUSE	Q7TSI3	PP6R1_MOUSE	Ppp6r1	856	Mus musculus	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 6 regulatory subunit 1	1.0	0.999	6	28	19	28	4	6	0	10	7	1	2	5	0	6	5	1	4	6	0	10	7	1	253872.69	176105.89	0.0	250340.97	224628.42	72814.81	67959.0	56167.76	0.0	89961.516	55376.1	63739.02	
sp|Q7TSJ2|MAP6_MOUSE	Q7TSJ2	MAP6_MOUSE	Map6	906	Mus musculus	1:Experimental evidence at protein level	Microtubule-associated protein 6	1.0	0.999	4	12	0	12	1	5	0	4	2	0	0	0	0	0	0	0	1	5	0	4	2	0	53775.953	105116.08	0.0	108472.69	224456.66	0.0	44935.188	61043.43	0.0	54444.547	58161.97	0.0	
sp|Q7TSS2-2|UB2Q1_MOUSE	Q7TSS2-2	UB2Q1_MOUSE	Ube2q1	253	Mus musculus		Isoform 2 of Ubiquitin-conjugating enzyme E2 Q1	1.0	0.999	2	5	0	5	0	3	0	1	1	0	0	0	0	0	0	0	0	3	0	1	1	0	38074.973	43698.67	0.0	63005.613	41753.59	0.0	38074.973	35437.152	0.0	63005.613	41753.59	0.0	sp|Q7TSS2|UB2Q1_MOUSE
sp|Q7TSV4|PGM2_MOUSE	Q7TSV4	PGM2_MOUSE	Pgm2	620	Mus musculus	1:Experimental evidence at protein level	Phosphopentomutase	1.0	0.999	25	156	130	156	29	36	4	31	39	17	25	31	4	23	34	13	29	36	4	31	39	17	2933095.8	3085471.2	228213.47	2276676.2	2951805.2	3314213.5	327763.4	363383.78	320153.06	383604.06	333524.0	424233.94	
sp|Q7TT28-2|REXO1_MOUSE	Q7TT28-2	REXO1_MOUSE	Rexo1	537	Mus musculus		Isoform 2 of RNA exonuclease 1 homolog	0.9433	0.999	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.0	0.0	0.0	17839.117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q7TT28|REXO1_MOUSE, tr|A0A571BEI4|A0A571BEI4_MOUSE, tr|A0A571BG10|A0A571BG10_MOUSE, tr|S4R246|S4R246_MOUSE
sp|Q7TT37|ELP1_MOUSE	Q7TT37	ELP1_MOUSE	Elp1	1333	Mus musculus	1:Experimental evidence at protein level	Elongator complex protein 1	1.0	0.999	24	97	97	97	18	25	1	23	24	6	18	25	1	23	24	6	18	25	1	23	24	6	1425053.5	1535368.5	56346.812	1100129.5	1329560.2	1269726.4	110822.79	118101.41	162095.11	132960.69	111894.38	148639.38	
